Produkt;Case;Box;Pack;Sklep;Waluta;Sezon;Producent;Typ karty;Typ boxa;Team;cena_box_PLN
Adrenalyn XL FIFA World Cup 2026 Booster pack;0,00;11,00;0,00;dutchbreakers;PLN;2026;Panini;adrenalyn;Inne;World Cup;11,00
2022-23 Panini Elite Premier League EPL – Retail;0,00;3,30;0,00;supercollectors;EUR;2022/2023;Panini;Inne;Mega;EPL;14,02
 2023/24 Panini Score Serie A Soccer Retail Pack ;0,00;4,50;0,00;taass;EUR;2023/2024;Panini;Score;Mega;Serie A;19,12
2024-25 Panini Prizm Premier League Retail Paczka;;21,00;;bigcards;PLN;2024/2025;Panini;Prizm;Mega;EPL;21,00
 2025/26 Topps Premier League Soccer EPL Retail Pack ;0,00;5,00;0,00;taass;EUR;2025/2026;Topps;Inne;Mega;EPL;21,25
 2023/24 Panini Score Ligue 1 Soccer Retail Pack ;0,00;5,00;0,00;taass;EUR;2023/2024;Panini;Score;Mega;Ligue 1;21,25
2024-25 Panini Prizm Premier League Trading Card Retail Pack;0,00;5,17;0,00;underpaidcollectibles;EUR;2024/2025;Panini;Prizm;Mega;EPL;21,97
 2024/25 Panini Prizm Premier League Soccer EPL Retail Pack ;0,00;5,90;0,00;taass;EUR;2024/2025;Panini;Prizm;Mega;EPL;25,08
2025-26 Topps Flagship UEFA Club Competitions Soccer Hobby Pack;0,00;6,20;0,00;underpaidcollectibles;EUR;2025/2026;Topps;Club;Hobby;UEFA;26,35
2021/22 Topps Real Sociedad Soccer Official Team Set (Hanger Box);0,00;7,00;0,00;dacardworld;EUR;2021/2022;Topps;Team;Hanger;Sociedad;29,75
 2023/24 Topps Chrome Bundesliga Soccer Hobby Pack ;0,00;7,50;0,00;taass;EUR;2023/2024;Topps;Chrome;Hobby;Bundesliga;31,88
 2023/24 Panini Score Serie A Soccer Fat Pack ;0,00;8,00;0,00;taass;EUR;2023/2024;Panini;Score;Fat Pack;Serie A;34,00
2025 Topps MLS Chrome – Hobby box;;36,00;;bigcards;PLN;2025;Topps;Chrome;Hobby;MLS;36,00
 2022/23 Topps Chrome UEFA Club Competitions Soccer Lite Pack ;0,00;8,50;0,00;taass;EUR;2022/2023;Topps;Club;Inne;UEFA;36,12
2022-23 Panini Select EPL Premier League Tmall Pack;0,00;8,78;0,00;underpaidcollectibles;EUR;2022/2023;Panini;Select;Inne;EPL;37,32
2022/23 Panini Select Premier League EPL Soccer Tmall;;39,00;;bigcards;PLN;2022/2023;Panini;Select;Inne;EPL;39,00
2022-23 Panini Premier League Donruss Elite Fat Pack;;39,00;;bigcards;PLN;2022/2023;Panini;Donruss;Fat Pack;EPL;39,00
Adrenalyn XL FIFA World Cup 2026 Multi Set;0,00;40,00;0,00;dutchbreakers;PLN;2026;Panini;adrenalyn;Inne;World Cup;40,00
2024-25 Panini Donruss FIFA Soccer Value Pack Box;0,00;40,00;0,00;qscards;PLN;2024/2025;Panini;Donruss;Inne;Donruss;40,00
Adrenalyn XL FIFA World Cup 2026 Ecoblister XXL;0,00;44,00;0,00;dutchbreakers;PLN;2026;Panini;adrenalyn;Inne;World Cup;44,00
Adrenalyn XL FIFA World Cup 2026 Premium Gold Blister;0,00;44,00;0,00;dutchbreakers;PLN;2026;Panini;Gold;Inne;World Cup;44,00
Adrenalyn XL FIFA World Cup 2026 Starter Pack;0,00;44,00;0,00;dutchbreakers;PLN;2026;Panini;adrenalyn;Inne;World Cup;44,00
2025-26 Topps Chrome Bundesliga Hobby Box;;45,00;;bigcards;PLN;2025/2026;Topps;Chrome;Hobby;Bundesliga;45,00
Adrenalyn XL FIFA World Cup 2026 Pocket Tin;0,00;48,00;0,00;dutchbreakers;PLN;2026;Panini;adrenalyn;Tin;World Cup;48,00
 2022/23 Panini Donruss Soccer (Fußball) Fat-Pack ;0,00;11,50;0,00;taass;EUR;2022/2023;Panini;Donruss;Inne;Donruss;48,88
2023-24 Panini Donruss Soccer Blaster Pack;;49,00;;bigcards;PLN;2023/2024;Panini;Donruss;Blaster;Donruss;49,00
2025/26 Topps UEFA Club Competitions Soccer Hobby Pack ;0,00;12,50;0,00;taass;EUR;2025/2026;Topps;Club;Hobby;UEFA;53,12
2022-23 Panini Select Serie A TMALL;;55,00;;bigcards;PLN;2022/2023;Panini;Select;Inne;Serie A;55,00
2025 Topps UEFA Japan Edition Hobby Box;;55,00;;bigcards;PLN;2025;Topps;Inne;Hobby;UEFA;55,00
2021/22 Panini Prizm Premier League EPL Soccer Cereal;0,00;13,00;0,00;dacardworld;EUR;2021/2022;Panini;Prizm;Inne;EPL;55,25
2020/21 Panini Mosaic UEFA Euro 2020 Soccer Hobby Pack;0,00;13,43;0,00;underpaidcollectibles;EUR;2020/2021;Panini;Mosaic;Hobby;UEFA;57,08
2021-22 Topps Chrome UEFA Champions League Hobby Box;;59,00;;bigcards;PLN;2021/2022;Topps;Chrome;Hobby;UEFA;59,00
2026 Topps Chrome Premier League EPL Soccer Hobby Pack;0,00;14,46;0,00;underpaidcollectibles;EUR;2026;Topps;Chrome;Hobby;EPL;61,46
 2025/26 Topps Chrome Bundesliga Soccer Hobby Pack ;0,00;14,90;0,00;taass;EUR;2025/2026;Topps;Chrome;Hobby;Bundesliga;63,32
Topps Borussia Dortmund Official 23-24 Fan Set View now;0,00;63,70;0,00;sportscardsdirect;PLN;2023/2024;Topps;Fan;Fan Set;Borussia Dortmund;63,70
Topps Paris Saint-Germain 23/24 Fan Set View now;0,00;63,70;0,00;sportscardsdirect;PLN;2023/2024;Topps;Fan;Fan Set;PSG;63,70
Topps Manchester City 23/24 Fan Set View now;0,00;63,70;0,00;sportscardsdirect;PLN;2023/2024;Topps;Fan;Fan Set;Manchester City;63,70
Topps Arsenal Fan Set 23/24 View now;0,00;63,70;0,00;sportscardsdirect;PLN;2023/2024;Topps;Fan;Fan Set;Arsenal;63,70
Topps Real Sociedad Official Team Set 2021/22 View now;0,00;63,70;0,00;sportscardsdirect;PLN;2021/2022;Topps;Team;Team Set;Sociedad;63,70
Topps Chrome - Premier League 25/26 Hanger Pack;0,00;14,99;0,00;austriantradingcards;EUR;2025/2026;Topps;Chrome;Hanger;EPL;63,71
Topps - UCC Club Competitions 25/26 Hanger Pack;0,00;14,99;0,00;austriantradingcards;EUR;2025/2026;Topps;Club;Hanger;UCC;63,71
2026 Topps Chrome Premier League Hanger Box (SEALED);0,00;14,99;0,00;pushdich;EUR;2026;Topps;Chrome;Hanger;EPL;63,71
2025-26 Topps UCC Flagship Hanger Pack Box (SEALED);0,00;14,99;0,00;pushdich;EUR;2025/2026;Topps;Flagship;Hanger;UCC;63,71
2021/22 Topps Borussia Dortmund BVB Soccer Official Team Set (Hanger Box);500,00;15,00;0,00;dacardworld;EUR;2021/2022;Topps;Team;Hanger;Borussia Dortmund;63,75
2025-26 Topps UCC Flagship – Spring Tin;0,00;15,00;0,00;supercollectors;EUR;2025/2026;Topps;Flagship;Tin;UCC;63,75
2025-26 Topps Chrome Premier League – Hanger;0,00;15,00;0,00;supercollectors;EUR;2025/2026;Topps;Chrome;Hanger;EPL;63,75
2025-26 Topps UCC Flagship – Hanger Box;0,00;15,00;0,00;supercollectors;EUR;2025/2026;Topps;Flagship;Hanger;UCC;63,75
Topps UEFA Club Competitions 2025/26 – Spring Tin;0,00;15,00;0,00;sportcardscenter;EUR;2025/2026;Topps;Club;Tin;UEFA;63,75
Topps Chrome Premier League 2025/26 – Hanger Box;0,00;15,00;0,00;sportcardscenter;EUR;2025/2026;Topps;Chrome;Hanger;EPL;63,75
Topps UCC Flagship 2025/26 – Hanger Box;0,00;15,00;0,00;sportcardscenter;EUR;2025/2026;Topps;Flagship;Hanger;UCC;63,75
2026 Topps Chrome Premier League Hobby;;65,00;;bigcards;PLN;2026;Topps;Chrome;Hobby;EPL;65,00
2026 Topps Chrome Premier League EPL Soccer Hanger Pack;0,00;15,51;0,00;underpaidcollectibles;EUR;2026;Topps;Chrome;Hanger;EPL;65,92
2025-26 Topps Flagship UEFA Club Competitions Soccer Hanger Box;0,00;15,51;0,00;underpaidcollectibles;EUR;2025/2026;Topps;Club;Hanger;UEFA;65,92
2024-25 Topps Chrome Merlin UEFA Club Competitions Soccer Hobby Pack;0,00;15,51;0,00;underpaidcollectibles;EUR;2024/2025;Topps;Club;Hobby;UEFA;65,92
2025-26 Topps UEFA Club Competitions- Hanger Pack;0,00;66,00;0,00;shaks;PLN;2025/2026;Topps;Club;Hanger;UEFA;66,00
2026 Topps Chrome Premier League - Hanger pack box;0,00;66,00;0,00;dutchbreakers;PLN;2026;Topps;Chrome;Hanger;EPL;66,00
2024-25 Topps Soccer Benfica Fan Set;0,00;66,00;0,00;dutchbreakers;PLN;2024/2025;Topps;Fan;Fan Set;Benfica;66,00
Topps Celtic Collector Tin 2025/26;0,00;66,00;0,00;dutchbreakers;PLN;2025/2026;Topps;Fan;Tin;Celtic;66,00
Adrenalyn XL FIFA World Cup 2026 Mega Tin;0,00;66,00;0,00;dutchbreakers;PLN;2026;Panini;adrenalyn;Mega;World Cup;66,00
Adrenalyn XL FIFA World Cup 2026 Update Set;0,00;66,00;0,00;dutchbreakers;PLN;2026;Panini;adrenalyn;Inne;World Cup;66,00
2025-26 Topps Flagship UCC Soccer Spring Tin;0,00;66,00;0,00;qscards;PLN;2025/2026;Topps;Flagship;Tin;UCC;66,00
2025-26 Topps Flagship UCC Soccer Hanger Box;0,00;66,00;0,00;qscards;PLN;2025/2026;Topps;Flagship;Hanger;UCC;66,00
2022/23 Panini Prizm Premier League EPL Soccer 6-Pack Blaster (Pink Mosaic Prizms!);305,00;16,00;0,00;dacardworld;EUR;2022/2023;Panini;Mosaic;Blaster;EPL;68,00
2021/22 Panini Prizm Premier League EPL Soccer Blaster;0,00;16,00;0,00;dacardworld;EUR;2021/2022;Panini;Prizm;Blaster;EPL;68,00
2026 Topps Chrome Premier League Hanger box;;69,00;;bigcards;PLN;2026;Topps;Chrome;Hanger;EPL;69,00
2025-26 Topps UEFA Club Competitions Hanger Box;;69,00;;bigcards;PLN;2025/2026;Topps;Club;Hanger;UEFA;69,00
2024-25 Topps Merlin UCC Hobby Box;;69,00;;bigcards;PLN;2024/2025;Topps;Merlin;Hobby;UCC;69,00
2025–26 Topps Chrome Premier League Hanger Box;0,00;16,99;0,00;yocardo;EUR;2025;Topps;Chrome;Hanger;EPL;72,21
2024/25 Topps UEFA Club Competitions Soccer Hanger;0,00;17,00;0,00;dacardworld;EUR;2024/2025;Topps;Club;Hanger;UEFA;72,25
2024/25 Panini Prizm Premier League EPL Soccer 6-Pack Hobby Blaster;330,00;17,00;0,00;dacardworld;EUR;2024/2025;Panini;Prizm;Blaster;EPL;72,25
2024/25 Topps Benfica Soccer Fan Set;0,00;17,00;0,00;dacardworld;EUR;2024/2025;Topps;Fan;Fan Set;Benfica;72,25
Topps UEFA Club Competitions 2025-26 - Spring Tin;0,00;74,00;0,00;shaks;PLN;2025/2026;Topps;Club;Tin;UEFA;74,00
2025/26 Topps Celtic FC Collector Tin;0,00;74,00;0,00;shaks;PLN;2025/2026;Topps;Fan;Tin;Celtic;74,00
 2023/24 Topps Chrome Liverpool FC Hobby Pack ;0,00;17,50;0,00;taass;EUR;2023/2024;Topps;Chrome;Hobby;Liverpool;74,38
2025/26 Topps UEFA Club Competitions Spring Tin;;75,00;;bigcards;PLN;2025/2026;Topps;Club;Tin;UEFA;75,00
2025–26 Topps UEFA Club Competitions Spring Tin;0,00;17,99;0,00;yocardo;EUR;2025;Topps;Club;Tin;UEFA;76,46
2024/25 Topps Paris Saint-Germain Fan Set;0,00;18,61;0,00;underpaidcollectibles;EUR;2024/2025;Topps;Fan;Fan Set;PSG;79,09
2025/26 Topps Chrome Premier League Soccer EPL Hanger Box ;0,00;18,90;0,00;taass;EUR;2025/2026;Topps;Chrome;Hanger;EPL;80,32
 2022/23 Panini Chronicles Soccer Multi-Pack ;0,00;18,90;0,00;taass;EUR;2022/2023;Panini;Inne;Inne;inne;80,32
2025-26 Topps Soccer Celtic Collector Tin;0,00;83,00;0,00;qscards;PLN;2025/2026;Topps;Fan;Tin;Celtic;83,00
 2023/24 Topps Red Bull Salzburg Official Fan-Set Hanger Box ;0,00;19,90;0,00;taass;EUR;2023/2024;Topps;Fan;Hanger;Salzburg;84,57
Topps - UCC Chrome 24/25 Hanger Pack;0,00;19,99;0,00;austriantradingcards;EUR;2024/2025;Topps;Chrome;Hanger;UCC;84,96
Topps - UEFA Club Competitions Hanger Pack 24/25;0,00;19,99;0,00;austriantradingcards;EUR;2024/2025;Topps;Club;Hanger;UEFA;84,96
Topps - Fan Set Arsenal FC 24/25;0,00;19,99;0,00;austriantradingcards;EUR;2024/2025;Topps;Fan;Fan Set;Arsenal;84,96
Topps - Fan Set Paris Saint-Germain 24/25;0,00;19,99;0,00;austriantradingcards;EUR;2024/2025;Topps;Fan;Fan Set;PSG;84,96
Topps - Fan Set RB Salzburg 24/25;0,00;19,99;0,00;austriantradingcards;EUR;2024/2025;Topps;Fan;Fan Set;Salzburg;84,96
Topps - Fan Set PSG 2023/24;0,00;19,99;0,00;austriantradingcards;EUR;2023/2024;Topps;Fan;Fan Set;PSG;84,96
Topps - Fan Set Arsenal FC 2023/24;0,00;19,99;0,00;austriantradingcards;EUR;2023/2024;Topps;Fan;Fan Set;Arsenal;84,96
Topps - Fan Set Chelsea FC 2023/24;0,00;19,99;0,00;austriantradingcards;EUR;2023/2024;Topps;Fan;Fan Set;Chelsea;84,96
2020-21 Panini Premier League Prizm Soccer Cereal Box;0,00;19,99;0,00;yocardo;EUR;2020/2021;Panini;Prizm;Inne;EPL;84,97
2023-24 Topps Borussia Dortmund Official Fan-Set;0,00;19,99;0,00;yocardo;EUR;2023/2024;Topps;Fan;Fan Set;Borussia Dortmund;84,97
2023-24 Topps FC Bayern München Official Fan-Set;0,00;19,99;0,00;yocardo;EUR;2023/2024;Topps;Fan;Fan Set;Bayern Monachium;84,97
2024-25 Topps FC Red Bull Salzburg Fan Set;0,00;19,99;0,00;yocardo;EUR;2024/2025;Topps;Fan;Fan Set;Salzburg;84,97
2023-24 Topps FC Red Bull Salzburg Official Fan Set;0,00;19,99;0,00;yocardo;EUR;2023/2024;Topps;Fan;Fan Set;Salzburg;84,97
2023-24 Topps RB Leipzig Official Fan Set;0,00;19,99;0,00;yocardo;EUR;2023/2024;Topps;Fan;Fan Set;RB Lipsk;84,97
2023-24 Topps Manchester City Fan Set;0,00;19,99;0,00;yocardo;EUR;2023/2024;Topps;Fan;Fan Set;Manchester City;84,97
2023-24 Topps Chelsea Offical Fan Set;0,00;19,99;0,00;yocardo;EUR;2023/2024;Topps;Fan;Fan Set;Chelsea;84,97
2022-23 Panini Select Fifa Tmall;;85,00;;bigcards;PLN;2022/2023;Panini;Select;Inne;FIFA;85,00
2025/26 Topps Juventus Collector Tin;0,00;87,00;0,00;shaks;PLN;2025/2026;Topps;Fan;Tin;Juventus;87,00
2024-25 Topps Soccer Salzburg Fan Set;0,00;88,00;0,00;qscards;PLN;2024/2025;Topps;Fan;Fan Set;Salzburg;88,00
2026 Topps Chrome Premier League Tin Box (SEALED);0,00;21,99;0,00;pushdich;EUR;2026;Topps;Chrome;Tin;EPL;93,46
2022/23 Panini Prizm Premier League EPL Soccer 6-Pack Blaster (Red Mosaic Prizms!);0,00;22,00;0,00;dacardworld;EUR;2022/2023;Panini;Mosaic;Blaster;EPL;93,50
2025/26 Topps UEFA Club Competitions Soccer Hanger;1 370,00;22,00;0,00;dacardworld;EUR;2025/2026;Topps;Club;Hanger;UEFA;93,50
2023/24 Panini Prizm Premier League EPL Soccer Blaster (Pink Mosaic Prizms!);0,00;22,00;0,00;dacardworld;EUR;2023/2024;Panini;Mosaic;Blaster;EPL;93,50
2024/25 Panini Prizm Premier League EPL Soccer Blaster (Pink Mosaic Prizms!);425,00;22,00;0,00;dacardworld;EUR;2024/2025;Panini;Mosaic;Blaster;EPL;93,50
2023 Topps Chrome MLS Major League Soccer 6-Pack Blaster;0,00;22,00;0,00;dacardworld;EUR;2023;Topps;Chrome;Blaster;MLS;93,50
Topps UEFA Club Competitions Flagship 2025/26 Spring Tin View now;0,00;94,90;0,00;sportscardsdirect;PLN;2025/2026;Topps;Club;Tin;UEFA;94,90
Topps UEFA Club Competitions Flagship 2025/26 Hanger Box View now;0,00;94,90;0,00;sportscardsdirect;PLN;2025/2026;Topps;Club;Hanger;UEFA;94,90
Topps RasenBallsport Leipzig Official 23/24 Fan Set View now;0,00;94,90;0,00;sportscardsdirect;PLN;2023/2024;Topps;Fan;Fan Set;RB Lipsk;94,90
Topps RB Salzburg 2023/24 Fan Set View now;0,00;94,90;0,00;sportscardsdirect;PLN;2023/2024;Topps;Fan;Fan Set;Salzburg;94,90
Topps FC Red Bull Salzburg Team Set 2023 View now;0,00;94,90;0,00;sportscardsdirect;PLN;2023;Topps;Team;Team Set;Salzburg;94,90
Topps Juventus Official Fan Set 23/24 View now;0,00;94,90;0,00;sportscardsdirect;PLN;2023/2024;Topps;Fan;Fan Set;Juventus;94,90
 2021/22 Panini Chronicles Soccer Multi Cello Pack ;0,00;22,90;0,00;taass;EUR;2021/2022;Panini;Inne;Inne;inne;97,32
 2021/22 Panini Mosaic Premier League EPL Soccer Hobby Booster Pack ;0,00;24,90;0,00;taass;EUR;2021/2022;Panini;Mosaic;Hobby;EPL;105,82
2025-26 Topps Collector Tin – Real Madrid;0,00;24,99;0,00;supercollectors;EUR;2025/2026;Topps;Fan;Tin;Real Madrid;106,21
Topps Chrome - Premier League 25/26 Chrome Tin;0,00;24,99;0,00;austriantradingcards;EUR;2025/2026;Topps;Chrome;Tin;EPL;106,21
Topps Collector Tin Liverpool 25/26;0,00;24,99;0,00;austriantradingcards;EUR;2025/2026;Topps;Fan;Tin;Liverpool;106,21
Topps Collector Tin Juventus 25/26;0,00;24,99;0,00;austriantradingcards;EUR;2025/2026;Topps;Fan;Tin;Juventus;106,21
Topps Collector Tin Manchester City 25/26;0,00;24,99;0,00;austriantradingcards;EUR;2025/2026;Topps;Fan;Tin;Manchester City;106,21
Topps Collector Tin Celtic 25/26;0,00;24,99;0,00;austriantradingcards;EUR;2025/2026;Topps;Fan;Tin;Celtic;106,21
Topps Collector Tin Manchester United 25/26;0,00;24,99;0,00;austriantradingcards;EUR;2025/2026;Topps;Fan;Tin;Manchester United;106,21
Topps Collector Tin Real Madrid 2025/26;0,00;24,99;0,00;sportcardscenter;EUR;2025/2026;Topps;Fan;Tin;Real Madrid;106,21
Topps Collector Tin Juventus 2025/26;0,00;24,99;0,00;sportcardscenter;EUR;2025/2026;Topps;Fan;Tin;Juventus;106,21
Topps Celtic Tin Collector 2025/26;0,00;24,99;0,00;sportcardscenter;EUR;2025/2026;Topps;Inne;Tin;Celtic;106,21
2025–26 Topps Chrome Premier League Hanger Tin;0,00;24,99;0,00;yocardo;EUR;2025;Topps;Chrome;Hanger;EPL;106,22
2025-26 Topps Juventus Turin Collector Tin;0,00;24,99;0,00;yocardo;EUR;2025/2026;Topps;Fan;Tin;Juventus;106,22
2025-26 Topps Chrome Premier League – Tin;0,00;25,00;0,00;supercollectors;EUR;2025/2026;Topps;Chrome;Tin;EPL;106,25
Topps - Chrome Premier League - 2026 - Tin;0,00;25,00;0,00;mirabilia;EUR;2026;Topps;Chrome;Tin;EPL;106,25
Topps - Collector Tin Juventus - 25/26;0,00;25,00;0,00;mirabilia;EUR;2025/2026;Topps;Fan;Tin;Juventus;106,25
Topps - Collector Tin Liverpool - 25/26;0,00;25,00;0,00;mirabilia;EUR;2025/2026;Topps;Fan;Tin;Liverpool;106,25
2025-26 Topps Celtic FC Collector Tin;;109,00;;bigcards;PLN;2025/2026;Topps;Fan;Tin;Celtic;109,00
2024/25 Panini Prizm Premier League EPL Soccer Blaster Box;0,00;109,00;0,00;shaks;PLN;2024/2025;Panini;Prizm;Blaster;EPL;109,00
2026 Topps Chrome Premier League EPL Soccer Tin Box;0,00;25,84;0,00;underpaidcollectibles;EUR;2026;Topps;Chrome;Tin;EPL;109,82
2025-26 Topps Juventus Collector Tin;0,00;25,84;0,00;underpaidcollectibles;EUR;2025/2026;Topps;Fan;Tin;Juventus;109,82
