Produkt;Case;Box;Pack;Sklep;Waluta;Sezon;Producent;Typ karty;Typ boxa;Team;cena_box_PLN
Topps - UEFA CL Chrome Lite 2021-22;0,00;149,99;0,00;austriantradingcards;EUR;2021/2022;Topps;Chrome;Inne;UEFA;637,46
 (LIVE BREAK) 2025/26 Topps Focus Liverpool FC Hobby Box ;0,00;159,00;0,00;taass;EUR;2025/2026;Topps;Focus;Hobby;Liverpool;675,75
 2020/21 Panini Mosaic UEFA Euro 2020 Soccer Hobby Box ;0,00;159,00;0,00;taass;EUR;2020/2021;Panini;Mosaic;Hobby;UEFA;675,75
2025-26 Topps UEFA Club Competitions Flagship - Hobby Box;0,00;697,00;0,00;shaks;PLN;2025/2026;Topps;Club;Hobby;UEFA;697,00
2020/21 Panini Mosaic UEFA Euro 2020 Soccer Hobby Box;0,00;698,00;0,00;dutchbreakers;PLN;2020/2021;Panini;Mosaic;Hobby;UEFA;698,00
2025-26 Topps UEFA Club Competitions Hobby Box;;699,00;;bigcards;PLN;2025/2026;Topps;Club;Hobby;UEFA;699,00
 2024/25 Panini Prizm Premier League Soccer EPL Choice Box ;0,00;165,00;0,00;taass;EUR;2024/2025;Panini;Prizm;Inne;EPL;701,25
2024/25 Topps Manchester City Blue Moon Soccer Hobby;0,00;165,00;20,00;dacardworld;EUR;2024/2025;Topps;Inne;Hobby;Manchester City;701,25
2026 Topps Liverpool Focus Soccer Hobby;0,00;170,00;0,00;dacardworld;EUR;2026;Topps;Focus;Hobby;Liverpool;722,50
2025-26 Topps Flagship UEFA Club Competitions Soccer Hobby Box;0,00;170,55;0,00;underpaidcollectibles;EUR;2025/2026;Topps;Club;Hobby;UEFA;724,84
 2023/24 Panini Select FIFA Soccer Blaster Box ;0,00;179,00;0,00;taass;EUR;2023/2024;Panini;Select;Blaster;FIFA;760,75
 2023/24 Panini Prizm Premier League Soccer EPL Choice Box ;0,00;179,00;0,00;taass;EUR;2023/2024;Panini;Prizm;Inne;EPL;760,75
 2022/23 Panini Select FIFA Soccer Asia Tmall Box ;0,00;179,00;0,00;taass;EUR;2022/2023;Panini;Select;Inne;FIFA;760,75
 2022/23 Panini Chronicles Soccer Multi-Pack Box ;0,00;179,00;0,00;taass;EUR;2022/2023;Panini;Inne;Inne;inne;760,75
2022-23 Panini Select Serie A Soccer T-Mall Hobby Box;0,00;764,00;0,00;dutchbreakers;PLN;2022/2023;Panini;Select;Hobby;Serie A;764,00
2024-25 Panini Prizm Premier League International Hobby Box;0,00;179,99;0,00;yocardo;EUR;2024/2025;Panini;Prizm;Hobby;EPL;764,97
2024-25 Topps Paris Saint-Germain: Champions d’Europe 2025 Hobby Box;0,00;179,99;0,00;yocardo;EUR;2024/2025;Topps;Inne;Hobby;PSG;764,97
2026 Topps Premier League EPL Soccer Super Tin;0,00;180,00;0,00;dacardworld;EUR;2026;Topps;Inne;Tin;EPL;765,00
2020/21 Topps Chrome Bundesliga Sapphire Edition Soccer Hobby;0,00;185,00;0,00;dacardworld;EUR;2020/2021;Topps;Sapphire;Hobby;Bundesliga;786,25
2024-25 Panini Select Soccer EPL Premier League Hobby Box International;;789,00;;bigcards;PLN;2024/2025;Panini;Select;Hobby;EPL;789,00
 2021/22 Panini Chronicles Soccer Multi Cello 12-Pack Box ;0,00;189,00;0,00;taass;EUR;2021/2022;Panini;Inne;Inne;inne;803,25
2025-26 Topps Uefa Club Competitions UCC Hobby Box;0,00;189,99;0,00;yocardo;EUR;2025/2026;Topps;Club;Hobby;UEFA;807,47
 2024/25 Topps Chrome Bundesliga Soccer Hobby Box ;0,00;190,00;0,00;taass;EUR;2024/2025;Topps;Chrome;Hobby;Bundesliga;807,50
 2021/22 Topps Tier One Bundesliga Soccer (Fussball) Hobby Box ;0,00;190,00;0,00;taass;EUR;2021/2022;Topps;Inne;Hobby;Bundesliga;807,50
2024/25 Panini Prizm Premier League Soccer EPL International Hobby Box;0,00;825,00;0,00;dutchbreakers;PLN;2024/2025;Panini;Prizm;Hobby;EPL;825,00
2024-25 Panini Prizm Premier League EPL Soccer Choice Box;0,00;829,00;0,00;dutchbreakers;PLN;2024/2025;Panini;Prizm;Inne;EPL;829,00
 (Live Break) 2025 Topps Decades 1990's Premier League (Fußball) Hobby Box ;0,00;199,00;0,00;taass;EUR;2025;Topps;Inne;Hobby;EPL;845,75
 2024/25 Panini Prizm Premier League Soccer EPL International Hobby Box ;0,00;199,00;0,00;taass;EUR;2024/2025;Panini;Prizm;Hobby;EPL;845,75
 2021/22 Panini Mosaic Premier League EPL Soccer Hobby Box ;0,00;199,00;0,00;taass;EUR;2021/2022;Panini;Mosaic;Hobby;EPL;845,75
2025 Topps Decades Premier League 90’s Edition;0,00;199,99;0,00;yocardo;EUR;2025;Topps;Inne;Inne;EPL;849,97
2020-21 Topps Chrome Bundesliga Soccer Sapphire;0,00;868,00;0,00;dutchbreakers;PLN;2020/2021;Topps;Sapphire;Inne;Bundesliga;868,00
2024/25 Panini Select La Liga Soccer International Hobby;0,00;868,00;0,00;dutchbreakers;PLN;2024/2025;Panini;Select;Hobby;LaLiga;868,00
 2024 Topps Chrome MLS Soccer Hobby Box ;0,00;209,00;0,00;taass;EUR;2024;Topps;Chrome;Hobby;MLS;888,25
 2023/24 Topps Chrome Liverpool FC Hobby Box ;0,00;215,00;0,00;taass;EUR;2023/2024;Topps;Chrome;Hobby;Liverpool;913,75
2025-26 Topps Premier League Decades 90’s Edition Box;0,00;215,00;0,00;supercollectors;EUR;2025/2026;Topps;Inne;Inne;EPL;913,75
2024-25 Panini La Liga Select Hobby International Box;;919,00;;bigcards;PLN;2024/2025;Panini;Select;Hobby;LaLiga;919,00
 2024/25 Topps Manchester City Blue Moon Hobby Box ;0,00;220,00;0,00;taass;EUR;2024/2025;Topps;Inne;Hobby;Manchester City;935,00
2024/25 Topps UEFA Club Competitions Soccer Hobby;0,00;220,00;0,00;dacardworld;EUR;2024/2025;Topps;Club;Hobby;UEFA;935,00
2024/25 Panini Prizm Premier League EPL Soccer Hobby;0,00;220,00;20,00;dacardworld;EUR;2024/2025;Panini;Prizm;Hobby;EPL;935,00
2025 Topps Decades Premier League – 90’s Edition;;949,00;;bigcards;PLN;2025;Topps;Inne;Inne;EPL;949,00
 2022/23 Topps UEFA Club Competitions Soccer Flagship Hobby Box ;0,00;229,00;0,00;taass;EUR;2022/2023;Topps;Club;Hobby;UEFA;973,25
 2019/20 Panini Chronicles Soccer (Fußball) Tmall Box ;0,00;229,00;0,00;taass;EUR;2019/2020;Panini;Inne;Inne;inne;973,25
2024/25 Topps Chrome UEFA Club Competitions Soccer Hobby;2 785,00;235,00;14,00;dacardworld;EUR;2024/2025;Topps;Club;Hobby;UEFA;998,75
Topps Chrome MLS 2025 Hobby Box View now;0,00;1 006,20;0,00;sportscardsdirect;PLN;2025;Topps;Chrome;Hobby;MLS;1 006,20
 2021/22 Panini Prizm Premier League EPL Soccer Choice Hobby Box ;0,00;239,00;0,00;taass;EUR;2021/2022;Panini;Prizm;Hobby;EPL;1 015,75
2025-26 Topps Gold Premier League Hobby box;;1 049,00;;bigcards;PLN;2025/2026;Topps;Gold;Hobby;EPL;1 049,00
 2021/22 Panini Mosaic Serie A Soccer Hobby Box ;0,00;249,00;0,00;taass;EUR;2021/2022;Panini;Mosaic;Hobby;Serie A;1 058,25
Topps Chrome - Premier League 25/26 Hobby Box;0,00;249,99;0,00;austriantradingcards;EUR;2025/2026;Topps;Chrome;Hobby;EPL;1 062,46
2024-25 Topps Chrome UCC Hobby Box;0,00;249,99;0,00;yocardo;EUR;2024/2025;Topps;Chrome;Hobby;UCC;1 062,47
2020-21 Topps Bundesliga Chrome Box;0,00;249,99;0,00;yocardo;EUR;2020/2021;Topps;Chrome;Inne;Bundesliga;1 062,47
2025-26 Topps Gold Premier League Hobby Box;0,00;249,99;0,00;yocardo;EUR;2025/2026;Topps;Gold;Hobby;EPL;1 062,47
2024-25 Panini Soccer (Fußball) Donruss International Hobby Box;0,00;253,13;0,00;underpaidcollectibles;EUR;2024/2025;Panini;Donruss;Hobby;Donruss;1 075,80
 2021/22 Topps UEFA Champions League Merlin Heritage 97 Soccer Hobby Box ;0,00;255,00;0,00;taass;EUR;2021/2022;Topps;Merlin;Hobby;UEFA;1 083,75
2020-21 Topps UEFA Champions League Chrome Steve Aoki X Neon Futures Soccer Hobby Box;0,00;1 087,00;0,00;dutchbreakers;PLN;2020/2021;Topps;Chrome;Hobby;UEFA;1 087,00
Topps - Merlin UEFA - 2024/25 UCC Hobby - Box;0,00;259,90;0,00;mirabilia;EUR;2024/2025;Topps;Merlin;Hobby;UEFA;1 104,57
2024-25 Panini Prizm English Premier League Soccer Hobby Box;0,00;259,99;0,00;yocardo;EUR;2024/2025;Panini;Prizm;Hobby;EPL;1 104,97
2024/25 Topps Chrome Merlin UEFA Club Competitions Soccer Hobby;0,00;260,00;0,00;dacardworld;EUR;2024/2025;Topps;Club;Hobby;UEFA;1 105,00
 2024/25 Topps Midnight Bundesliga Soccer (Fussball) Hobby Box ;0,00;265,00;0,00;taass;EUR;2024/2025;Topps;Inne;Hobby;Bundesliga;1 126,25
2023/24 Panini Score FIFA Soccer Retail 20-Pack Box;0,00;265,00;0,00;dacardworld;EUR;2023/2024;Panini;Score;Mega;inne;1 126,25
2024-25 Topps Merlin UCC - Hobby Box;0,00;1 133,00;0,00;shaks;PLN;2024/2025;Topps;Merlin;Hobby;UCC;1 133,00
 2021/22 Panini Mosaic La Liga Espańa Soccer Hobby Box ;0,00;269,00;0,00;taass;EUR;2021/2022;Panini;Mosaic;Hobby;LaLiga;1 143,25
2024/25 Topps Gold UEFA Club Competitions Soccer Hobby Box;0,00;270,00;0,00;dacardworld;EUR;2024/2025;Topps;Gold;Hobby;UEFA;1 147,50
2024-25 Topps Chrome Merlin UEFA Club Competitions Soccer Hobby Box;0,00;273,91;0,00;underpaidcollectibles;EUR;2024/2025;Topps;Club;Hobby;UEFA;1 164,12
2024/25 Panini FC Barcelona Tribute 125th Anniversary Soccer Hobby;4 290,00;275,00;0,00;dacardworld;EUR;2024/2025;Panini;Inne;Hobby;Barcelona;1 168,75
2025/26 Panini Andres Iniesta Tribute Soccer Hobby Box;0,00;275,00;0,00;dacardworld;EUR;2025/2026;Panini;Inne;Hobby;inne;1 168,75
2024-25 Topps Merlin UCC - Hobby Box;0,00;1 200,00;0,00;dutchbreakers;PLN;2024/2025;Topps;Merlin;Hobby;UCC;1 200,00
2025/26 Topps Gold Premier League EPL Soccer Hobby;0,00;285,00;0,00;dacardworld;EUR;2025/2026;Topps;Gold;Hobby;EPL;1 211,25
2025/26 Topps UEFA Club Competitions Soccer Hobby Box ;0,00;289,00;0,00;taass;EUR;2025/2026;Topps;Club;Hobby;UEFA;1 228,25
2026 Topps Chrome Premier League EPL Soccer Hobby Box;0,00;289,41;0,00;underpaidcollectibles;EUR;2026;Topps;Chrome;Hobby;EPL;1 229,99
2025/26 Topps Chrome Premier League Soccer EPL Hobby Box ;0,00;299,00;0,00;taass;EUR;2025/2026;Topps;Chrome;Hobby;EPL;1 270,75
 2024/25 Panini Prizm Premier League Soccer EPL Hobby Box ;0,00;299,00;0,00;taass;EUR;2024/2025;Panini;Prizm;Hobby;EPL;1 270,75
 2023/24 Panini Select Serie A Soccer International Hobby Box ;0,00;299,00;0,00;taass;EUR;2023/2024;Panini;Select;Hobby;Serie A;1 270,75
 2023/24 Topps Arsenal London Forever Hobby Box ;0,00;299,00;0,00;taass;EUR;2023/2024;Topps;Inne;Hobby;Arsenal;1 270,75
 2022/23 Panini Prizm Premier League Soccer EPL Hobby Box ;0,00;299,00;0,00;taass;EUR;2022/2023;Panini;Prizm;Hobby;EPL;1 270,75
Panini – Tributo Andrés Iniesta;0,00;299,99;0,00;supercollectors;EUR;brak danych;Panini;Inne;Inne;inne;1 274,96
2021-2022 Topps Uefa Champions League First 1st Edition Sealed Box;0,00;299,99;0,00;yocardo;EUR;2021/2022;Topps;Inne;Inne;UEFA;1 274,97
2024/25 Topps Deco UEFA Club Competitions Soccer Hobby Box;0,00;300,00;0,00;dacardworld;EUR;2024/2025;Topps;Deco;Hobby;UEFA;1 275,00
Panini Andrés Iniesta Tribute Set – Box Tributo;0,00;300,00;0,00;sportcardscenter;EUR;brak danych;Panini;Inne;Inne;inne;1 275,00
Topps Decades Premier League 2025 – 90’s Edition View now;0,00;1 383,20;0,00;sportscardsdirect;PLN;2025;Topps;Inne;Inne;EPL;1 383,20
2025-26 Topps Deco UCC Hobby box;;1 399,00;;bigcards;PLN;2025/2026;Topps;Deco;Hobby;UCC;1 399,00
 2024/25 Panini Donruss Soccer (Fußball) International Hobby Box ;0,00;330,00;0,00;taass;EUR;2024/2025;Panini;Donruss;Hobby;Donruss;1 402,50
 2020/21 Topps Chrome Bundesliga Soccer (Fussball) Hobby Box ;0,00;330,00;0,00;taass;EUR;2020/2021;Topps;Chrome;Hobby;Bundesliga;1 402,50
2024/25 Topps Simplicidad UEFA Club Competitions Soccer Hobby Box;0,00;335,00;0,00;dacardworld;EUR;2024/2025;Topps;Club;Hobby;UEFA;1 423,75
 2024/25 Panini Select Serie A Soccer Hobby Box ;0,00;349,00;0,00;taass;EUR;2024/2025;Panini;Select;Hobby;Serie A;1 483,25
 2021/22 Topps Finest UEFA Champions League Soccer Hobby Box ;0,00;349,00;0,00;taass;EUR;2021/2022;Topps;Finest;Hobby;UEFA;1 483,25
 2021/22 Panini Prizm Premier League EPL Soccer Hobby Box ;0,00;349,00;0,00;taass;EUR;2021/2022;Panini;Prizm;Hobby;EPL;1 483,25
2024/25 Panini Select Premier League EPL Soccer Hobby;;1 499,00;;bigcards;PLN;2024/2025;Panini;Select;Hobby;EPL;1 499,00
2026 Topps Chrome Premier League - Hobby Box;0,00;1 523,00;0,00;dutchbreakers;PLN;2026;Topps;Chrome;Hobby;EPL;1 523,00
2026 Topps Soccer Premier League Hobby Box;0,00;1 523,00;0,00;qscards;PLN;2026;Topps;Inne;Hobby;EPL;1 523,00
 2023/24 Panini Select Premier League Soccer Hobby Box ;0,00;359,00;0,00;taass;EUR;2023/2024;Panini;Select;Hobby;EPL;1 525,75
 2022/23 Topps Chrome UEFA Club Competitions Soccer Hobby Box ;0,00;359,00;0,00;taass;EUR;2022/2023;Topps;Club;Hobby;UEFA;1 525,75
2021-22 Panini Mosaic Road To Fifa World Cup Soccer Hobby Box;;1 549,00;;bigcards;PLN;2021/2022;Panini;Mosaic;Hobby;World Cup;1 549,00
 2022/23 Panini Chronicles Soccer Hobby Box ;0,00;365,00;0,00;taass;EUR;2022/2023;Panini;Inne;Hobby;inne;1 551,25
2023-24 Topps Pristine Road to EURO 2024;0,00;369,99;0,00;yocardo;EUR;2023/2024;Topps;Inne;Inne;inne;1 572,47
2025–26 Topps Chrome Premier League Hobby Box;0,00;369,99;0,00;yocardo;EUR;2025;Topps;Chrome;Hobby;EPL;1 572,47
 2020/21 Topps Finest Bundesliga Soccer Hobby Box ;0,00;379,00;0,00;taass;EUR;2020/2021;Topps;Finest;Hobby;Bundesliga;1 610,75
2025 Topps Decades UCC Hobby Box;0,00;379,99;0,00;yocardo;EUR;2025;Topps;Inne;Hobby;UCC;1 614,97
2025/26 Topps Premier League EPL Soccer Hobby;4 560,00;380,00;55,00;dacardworld;EUR;2025/2026;Topps;Inne;Hobby;EPL;1 615,00
Panini Prizm World Cup Club 2025 Hobby Box;0,00;380,00;0,00;sportcardscenter;EUR;2025;Panini;Club;Hobby;inne;1 615,00
 2020/21 Topps Chrome Sapphire Bundesliga Soccer Hobby Box ;0,00;389,00;0,00;taass;EUR;2020/2021;Topps;Sapphire;Hobby;Bundesliga;1 653,25
 (Live Break) 2024/25 Topps Chrome Merlin UEFA Club Competitions Soccer Breaker Delight Box ;0,00;390,00;0,00;taass;EUR;2024/2025;Topps;Club;Inne;UEFA;1 657,50
2024-25 Panini Select FIFA International Hobby Box;;1 679,00;;bigcards;PLN;2024/2025;Panini;Select;Hobby;FIFA;1 679,00
2024-25 Topps Inception UCC Hobby box;;1 689,00;;bigcards;PLN;2024/2025;Topps;Inception;Hobby;UCC;1 689,00
2024/25 Topps Chrome Merlin UEFA Club Competitions Soccer Hobby Box ;0,00;399,00;0,00;taass;EUR;2024/2025;Topps;Club;Hobby;UEFA;1 695,75
 2022/23 Topps Merlin Chrome UEFA Club Competitions Soccer Hobby Box ;0,00;399,00;0,00;taass;EUR;2022/2023;Topps;Club;Hobby;UEFA;1 695,75
 2022/23 Panini Select Premier League Soccer Hobby Box ;0,00;399,00;0,00;taass;EUR;2022/2023;Panini;Select;Hobby;EPL;1 695,75
 2021/22 Topps UEFA Champions League Stadium Club Chrome Soccer Hobby Box ;0,00;399,00;0,00;taass;EUR;2021/2022;Topps;Club;Hobby;UEFA;1 695,75
 2021/22 Topps UEFA Champions League Merlin Chrome Soccer Hobby Box ;0,00;399,00;0,00;taass;EUR;2021/2022;Topps;Merlin;Hobby;UEFA;1 695,75
 2021/22 Panini Obsidian Soccer (Fußball) Asia Tmall Box ;0,00;399,00;0,00;taass;EUR;2021/2022;Panini;Inne;Inne;inne;1 695,75
2024-25 Topps Finest UCC Hobby Box;0,00;399,99;0,00;yocardo;EUR;2024/2025;Topps;Finest;Hobby;UCC;1 699,97
2024-25 Topps Museum UCC Hobby Box;;1 709,00;;bigcards;PLN;2024/2025;Topps;Museum;Hobby;UCC;1 709,00
 2024/25 Topps UEFA Club Competitions GOLD Soccer Hobby Box ;0,00;409,00;0,00;taass;EUR;2024/2025;Topps;Gold;Hobby;UEFA;1 738,25
2020/21 Panini Chronicles Soccer Hobby Box;0,00;1 741,00;0,00;dutchbreakers;PLN;2020/2021;Panini;Inne;Hobby;inne;1 741,00
2024/25 Topps Chelsea Lineage 120 Years Anniversary Soccer Hobby;2 465,00;410,00;0,00;dacardworld;EUR;2024/2025;Topps;Lineage;Hobby;Chelsea;1 742,50
2024/25 Panini Select FIFA Soccer International Hobby;4 290,00;410,00;38,00;dacardworld;EUR;2024/2025;Panini;Select;Hobby;FIFA;1 742,50
2025 Panini Prizm FIFA Club World Cup Soccer Hobby Box;0,00;410,00;38,00;dacardworld;EUR;2025;Panini;Club;Hobby;Club World Cup;1 742,50
Topps Chrome Premier League 2026 Hobby Box View now;0,00;1 758,90;0,00;sportscardsdirect;PLN;2026;Topps;Chrome;Hobby;EPL;1 758,90
2024/25 Panini Donruss Soccer Hobby;0,00;415,00;39,00;dacardworld;EUR;2024/2025;Panini;Donruss;Hobby;Donruss;1 763,75
 2023/24 Panini Select Serie A Soccer Hobby Box ;0,00;419,00;0,00;taass;EUR;2023/2024;Panini;Select;Hobby;Serie A;1 780,75
 2020/21 Topps Tier One Bundesliga Soccer Hobby Box ;0,00;419,00;0,00;taass;EUR;2020/2021;Topps;Inne;Hobby;Bundesliga;1 780,75
2026 Topps Chrome Premier League EPL Soccer Logofractor Edition;0,00;425,00;0,00;dacardworld;EUR;2026;Topps;Chrome;Inne;EPL;1 806,25
 2024/25 Panini Select FIFA Soccer (Fußball) International Hobby Box ;0,00;449,00;0,00;taass;EUR;2024/2025;Panini;Select;Hobby;FIFA;1 908,25
 2021/22 Panini Chronicles Soccer Hobby Box ;0,00;449,00;0,00;taass;EUR;2021/2022;Panini;Inne;Hobby;inne;1 908,25
 2021/22 Panini Donruss Soccer Road to Qatar Hobby Box ;0,00;449,00;0,00;taass;EUR;2021/2022;Panini;Donruss;Hobby;Donruss;1 908,25
 2016/17 Panini Donruss Soccer Hobby Box ;0,00;449,00;0,00;taass;EUR;2016/2017;Panini;Donruss;Hobby;Donruss;1 908,25
2025-26 Topps FC Barcelona Forever – Hobby Box;0,00;449,00;0,00;supercollectors;EUR;2025/2026;Topps;Inne;Hobby;Barcelona;1 908,25
2026 Topps Chrome Premier League EPL Soccer Hobby;5 275,00;450,00;25,00;dacardworld;EUR;2026;Topps;Chrome;Hobby;EPL;1 912,50
 2025/26 Topps Deco UEFA Club Competitions Soccer Hobby Box ;0,00;459,00;0,00;taass;EUR;2025/2026;Topps;Deco;Hobby;UEFA;1 950,75
 (Live Break) 2025/26 Topps Forever FC Barcelona Hobby Box ;0,00;470,00;0,00;taass;EUR;2025/2026;Topps;Inne;Hobby;Barcelona;1 997,50
